’èíŒvŽZ‚É‚æ‚é•‰‰×‚ð”ñ’èíŒvŽZ‚É‚æ‚é•‰‰×‚ÉŠ·ŽZ‚·‚é‚½‚ß‚ÌŒW”ˆê——i‘Î”äŒW”ˆ——pExcelƒtƒ@ƒCƒ‹‚©‚çƒRƒs[j,,,,,,,,,,,,,,,,,,,2012.1.31 Œš’zŠÂ‹«ƒ\ƒŠƒ…[ƒVƒ‡ƒ“ƒY@‹{“‡,,,,,,,,,,
Ø•Ð‚Ì’PˆÊ‚Í[Wh/m2“ú],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Œš•¨—p“r,Žº—p“r,‘O“ú‹ó’²—L–³,ŠúŠÔ,ŠO—,•‰‰×Ží•Ê,,–kŒ©,,,ŠâŒ©‘ò,,,·‰ª,,,’·–ì,,,‰F“s‹{,,,‰ªŽR,,,‹{è,,,“ß”e,
,,,,,’g–[•‰‰×,0.78,-118,-213,0.71,-115,-174,0.77,-113,-175,0.79,-94,-185,0.8,-67,-167,0.8,-80,-225,0.74,-96,-229,0.79,-28,-138
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.8,77,0,0.75,143,0,0.64,181,0,0.69,157,0,0.66,175,0,0.73,130,0,0.69,200,0,0.71,149,0
W‰ïŠ“™,Šy‰®,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.43,-4,45,0,0,225,-0.05,-1,183,0.07,6,173,0.47,12,303,0.58,14,77,0.5,14,317,0.7,8,60
,,,,,’g–[•‰‰×,0.66,-41,-182,0.67,-31,-228,0.69,-20,-188,0.72,-12,-143,0.69,-14,-230,0.63,-15,-15,0.71,-10,-241,0.67,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.66,70,0,0.62,91,0,0.63,79,0,0.63,80,0,0.62,72,0,0.68,58,0,0.65,77,0,0.69,56,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,74,0,0,70,0,0,90,0,0,97,0,0,143,0,0,149,0,0,178,0,0,199
,,,,,’g–[•‰‰×,0.7,-109,-196,0.67,-124,-208,0.65,-130,-230,0.64,-134,-237,0.65,-118,-251,0.66,-93,-233,0.68,-69,-228,0.66,-28,-204
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,74,0,0.67,88,0,0.6,117,0,0.59,134,0,0.63,144,0,0.66,97,0,0.63,128,0,0.65,63,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,143,0,0,158,0,0,133,0,0,146,0,0,152,0,0,209,0,0,175,0,0,269
,,,,,’g–[•‰‰×,0.65,-69,-200,0.63,-74,-218,0.65,-83,-209,0.67,-67,-201,0.69,-47,-180,0.7,-38,-223,0.68,-52,-200,0.66,-23,-258
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.67,66,0,0.64,84,0,0.6,104,0,0.61,106,0,0.64,97,0,0.68,73,0,0.64,116,0,0.68,67,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,107,0,0,330,0,0,357,0,0,417,-0.19,-5,313,1.05,60,60,0.36,24,347,1.15,41,536
,,,,,’g–[•‰‰×,0.79,-233,-382,0.81,-155,-535,0.96,-108,-504,1.07,-78,-529,1.63,-34,-402,0.88,-28,-28,1.27,-69,-388,1.11,-35,-530
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.92,309,0,0.48,389,0,0.86,305,0,0.93,258,0,0.88,271,0,0.92,274,0,0.96,265,0,1.16,246,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,85,0,0,85,0,0,74,0,0,175,0,0,272,0,0,196,0,0,312,-5.94,-12,-12
,,,,,’g–[•‰‰×,1.02,-566,-770,0.98,-560,-762,0.85,-645,-832,0.94,-525,-790,0.95,-472,-807,0.76,-538,-815,1.06,-373,-745,1.45,-76,-603
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.99,306,0,0.95,373,0,0.96,400,0,0.6,585,0,0.95,454,0,0.67,519,0,0.95,538,0,0.95,421,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,162,0,0,150,0,0,144,0,0,243,0,0,172,0,0,229,0,0,276,0,0,336
,,,,,’g–[•‰‰×,0.87,-377,-628,0.86,-379,-615,0.96,-300,-524,0.89,-331,-638,1.12,-192,-418,1.2,-127,-402,0.94,-207,-531,1.04,-58,-416
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.18,327,0,0.74,426,0,0.72,430,0,0.92,383,0,0.75,460,0,1.25,229,0,0.88,334,0,1.07,156,0
W‰ïŠ“™,Œ€ê,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.28,-3,-3,0,0,22,0,0,20,0.06,5,34,0.48,11,63,0.57,13,68,0.51,13,67,0.68,8,53
,,,,,’g–[•‰‰×,0.63,-43,-43,0.64,-32,-32,0.66,-21,-21,0.69,-12,-12,0.66,-14,-14,0.62,-13,-13,0.69,-9,-9,0.65,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.63,73,0,0.6,93,0,0.61,80,0,0.61,82,0,0.6,74,0,0.66,60,0,0.63,78,0,0.67,58,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,234,0,0,248,0,0,335,0,0,344,0,0,439,0,0,449,0,0,476,0,0,17
,,,,,’g–[•‰‰×,0.67,-116,-370,0.64,-131,-399,0.62,-139,-489,0.61,-142,-498,0.61,-126,-561,0.63,-99,-545,0.64,-73,-536,0.62,-30,-30
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,76,0,0.64,89,0,0.58,118,0,0.57,137,0,0.61,147,0,0.64,99,0,0.61,129,0,0.64,64,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,388,0,0,489,0,0,323,0,0,460,0,0,412,0,0,635,0,0,426,0,0,29
,,,,,’g–[•‰‰×,0.63,-72,-453,0.6,-78,-557,0.62,-87,-409,0.64,-71,-524,0.66,-50,-450,0.67,-40,-658,0.65,-55,-459,0.63,-24,-24
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.65,69,0,0.61,86,0,0.58,106,0,0.59,108,0,0.62,99,0,0.66,75,0,0.62,117,0,0.66,69,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,505,0,0,727,0,0,0,0,0,695,-0.18,-5,-5,0.99,57,57,0.34,25,727,1.09,39,39
,,,,,’g–[•‰‰×,0.75,-218,-873,0.77,-146,-1031,0.9,-103,-103,1.01,-72,-914,1.54,-31,-31,0.83,-28,-28,1.19,-65,-884,1.05,-32,-32
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.86,296,0,0.47,367,0,0.82,289,0,0.87,248,0,0.83,258,0,0.88,260,0,0.91,254,0,1.09,236,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,242,0,0,252,0,0,258,0,0,438,0,0,499,0,0,459,0,0,619,-5.96,-13,175
,,,,,’g–[•‰‰×,0.95,-546,-1014,0.91,-540,-1016,0.79,-620,-1099,0.87,-507,-1144,0.87,-458,-1130,0.71,-517,-1166,0.98,-359,-1160,1.36,-73,-1127
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.94,293,0,0.9,354,0,0.91,379,0,0.58,553,0,0.9,434,0,0.64,489,0,0.9,512,0,0.9,399,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,433,0,0,438,0,0,409,0,0,568,0,0,367,0,0,563,0,0,592,0,0,499
,,,,,’g–[•‰‰×,0.81,-359,-1001,0.8,-363,-1007,0.89,-292,-889,0.83,-318,-1058,1.05,-184,-714,1.12,-125,-843,0.88,-201,-937,0.98,-56,-674
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.11,310,0,0.7,403,0,0.68,406,0,0.88,363,0,0.71,436,0,1.18,220,0,0.83,320,0,1.02,152,0
W‰ïŠ“™,ƒƒr[Œ€ê,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.28,-3,5,0,0,119,0,0,92,0.06,5,98,0.48,11,193,0.57,13,231,0.51,13,190,0.68,8,49
,,,,,’g–[•‰‰×,0.63,-43,-112,0.64,-32,-133,0.66,-21,-96,0.69,-12,-80,0.66,-14,-130,0.62,-13,-176,0.69,-9,-124,0.65,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.63,73,0,0.6,93,0,0.61,80,0,0.61,82,0,0.6,74,0,0.66,60,0,0.63,78,0,0.67,58,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,41,0,0,36,0,0,44,0,0,47,0,0,83,0,0,72,0,0,87,0,0,117
,,,,,’g–[•‰‰×,0.67,-116,-180,0.64,-131,-191,0.62,-139,-200,0.61,-142,-204,0.61,-126,-207,0.63,-99,-172,0.64,-73,-151,0.62,-30,-133
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.68,76,0,0.64,89,0,0.58,118,0,0.57,137,0,0.61,147,0,0.64,99,0,0.61,129,0,0.64,64,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,73,0,0,62,0,0,62,0,0,66,0,0,73,0,0,107,0,0,98,0,0,150
,,,,,’g–[•‰‰×,0.63,-72,-143,0.6,-78,-135,0.62,-87,-152,0.64,-71,-134,0.66,-50,-114,0.67,-40,-133,0.65,-55,-136,0.63,-24,-150
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.65,69,0,0.61,86,0,0.58,106,0,0.59,108,0,0.62,99,0,0.66,75,0,0.62,117,0,0.66,69,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,74,0,0,238,0,0,255,0,0,307,-0.18,-5,207,0.99,57,80,0.34,25,257,1.09,39,417
,,,,,’g–[•‰‰×,0.75,-218,-311,0.77,-146,-410,0.9,-103,-372,1.01,-72,-388,1.54,-31,-268,0.83,-28,-28,1.19,-65,-271,1.05,-32,-387
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.86,296,0,0.47,367,0,0.82,289,0,0.87,248,0,0.83,258,0,0.88,260,0,0.91,254,0,1.09,236,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,54,0,0,55,0,0,44,0,0,113,0,0,214,0,0,138,0,0,239,-5.96,-13,-13
,,,,,’g–[•‰‰×,0.95,-546,-691,0.91,-540,-684,0.79,-620,-748,0.87,-507,-683,0.87,-458,-709,0.71,-517,-709,0.98,-359,-630,1.36,-73,-460
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.94,293,0,0.9,354,0,0.91,379,0,0.58,553,0,0.9,434,0,0.64,489,0,0.9,512,0,0.9,399,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,107,0,0,93,0,0,91,0,0,171,0,0,119,0,0,170,0,0,199,0,0,233
,,,,,’g–[•‰‰×,0.81,-359,-525,0.8,-363,-513,0.89,-292,-437,0.83,-318,-528,1.05,-184,-333,1.12,-125,-317,0.88,-201,-427,0.98,-56,-292
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,1.11,310,0,0.7,403,0,0.68,406,0,0.88,363,0,0.71,436,0,1.18,220,0,0.83,320,0,1.02,152,0
W‰ïŠ“™,ƒCƒ“ƒ^[ƒlƒbƒgƒJƒtƒF,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.04,11,465,-0.01,0,542,0,5,546,0.11,15,122,0.34,21,147,0.56,24,158,0.49,21,173,0.72,13,152
,,,,,’g–[•‰‰×,0.88,-16,-374,0.9,-9,-453,0.89,-9,-455,0.88,-11,-11,0.85,-15,-15,0.74,-24,-24,0.84,-18,-18,0.78,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,47,0,0.72,74,0,0.72,62,0,0.72,64,0,0.72,56,0,0.78,36,0,0.73,65,0,0.8,32,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,293,0,0,277,0,0,319,0,0,335,0,0,424,0,0,411,0,0,442,0.34,10,157
,,,,,’g–[•‰‰×,0.9,-37,-271,0.89,-37,-250,0.89,-39,-298,0.89,-38,-307,0.89,-33,-375,0.89,-28,-360,0.89,-23,-376,0.87,-12,-12
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.77,55,0,0.73,75,0,0.7,91,0,0.69,105,0,0.72,115,0,0.77,59,0,0.71,101,0,0.75,43,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,369,0,0,423,0,0,379,0,0,436,0.01,3,418,0.01,9,475,0,0,412,0.03,4,112
,,,,,’g–[•‰‰×,0.89,-23,-310,0.89,-22,-362,0.89,-23,-325,0.9,-20,-372,0.9,-14,-338,0.9,-13,-389,0.89,-17,-334,0.89,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.78,43,0,0.71,75,0,0.69,83,0,0.71,84,0,0.72,81,0,0.76,55,0,0.72,96,0,0.78,43,0
W‰ïŠ“™,ƒJƒ‰ƒIƒP,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.06,7,383,0,0,468,-0.01,2,439,0.13,11,382,0.43,17,97,0.68,15,103,0.55,16,117,0.74,10,95
,,,,,’g–[•‰‰×,0.82,-18,-344,0.83,-13,-435,0.83,-10,-405,0.84,-8,-320,0.81,-12,-12,0.72,-18,-18,0.8,-14,-14,0.76,-9,-9
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,52,0,0.68,76,0,0.68,64,0,0.68,67,0,0.68,59,0,0.75,40,0,0.7,68,0,0.77,35,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,175,0,0,176,0,0,201,0,0,212,0,0,297,0,0,290,0,0,355,0.2,8,81
,,,,,’g–[•‰‰×,0.82,-58,-224,0.82,-56,-219,0.81,-60,-253,0.81,-59,-256,0.81,-52,-320,0.81,-43,-307,0.81,-36,-353,0.8,-16,-16
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.74,58,0,0.7,77,0,0.67,92,0,0.66,107,0,0.68,118,0,0.74,62,0,0.68,102,0,0.72,44,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,221,0,0,323,0,0,261,0,0,299,0.01,1,258,0.02,1,378,0,0,288,-0.02,2,50
,,,,,’g–[•‰‰×,0.82,-32,-224,0.81,-33,-325,0.82,-35,-270,0.82,-29,-296,0.83,-21,-239,0.82,-19,-348,0.82,-27,-272,0.82,-10,-10
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.74,47,0,0.67,78,0,0.65,86,0,0.67,86,0,0.68,84,0,0.73,59,0,0.69,98,0,0.75,46,0
W‰ïŠ“™,ƒ{ƒEƒŠƒ“ƒO,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0.03,5,197,0,0,259,-0.04,0,277,0.14,9,254,0.46,15,144,0.7,12,146,0.58,13,160,0.79,5,134
,,,,,’g–[•‰‰×,0.77,-19,-127,0.78,-14,-187,0.78,-11,-209,0.8,-6,-150,0.78,-9,-9,0.72,-13,-13,0.78,-8,-8,0.75,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,48,0,0.68,74,0,0.68,62,0,0.68,64,0,0.68,57,0,0.74,38,0,0.69,66,0,0.76,34,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,103,0,0,100,0,0,114,0,0,128,0,0,170,0,0,156,0,0,203,-0.62,8,8
,,,,,’g–[•‰‰×,0.77,-70,-121,0.77,-68,-113,0.76,-74,-137,0.75,-72,-142,0.75,-65,-163,0.76,-53,-140,0.76,-42,-166,0.76,-17,-17
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.74,53,0,0.7,73,0,0.67,87,0,0.66,101,0,0.69,113,0,0.74,57,0,0.68,98,0,0.72,41,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,140,0,0,165,0,0,150,0,0,177,0,0,133,0,0,214,0,0,193,-0.03,1,90
,,,,,’g–[•‰‰×,0.77,-36,-105,0.76,-39,-131,0.77,-41,-124,0.77,-34,-138,0.78,-25,-79,0.78,-22,-151,0.77,-31,-141,0.77,-12,-12
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.74,44,0,0.67,74,0,0.66,81,0,0.67,82,0,0.69,79,0,0.73,54,0,0.69,93,0,0.75,43,0
W‰ïŠ“™,ƒpƒ`ƒ“ƒR,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.24,0,34,0,0,104,-0.03,0,97,0.13,8,125,0.45,14,160,0.69,12,161,0.57,13,188,0.78,5,161
,,,,,’g–[•‰‰×,0.75,-21,-21,0.76,-16,-16,0.76,-11,-11,0.78,-6,-6,0.76,-9,-9,0.7,-13,-13,0.77,-8,-8,0.73,-6,-6
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.71,50,0,0.66,75,0,0.67,63,0,0.67,66,0,0.67,58,0,0.73,39,0,0.68,67,0,0.75,35,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,882,0,0,924,0,0,1041,0,0,1057,0,0,89,0,0,86,0,0,96,-0.64,8,8
,,,,,’g–[•‰‰×,0.75,-75,-879,0.75,-73,-916,0.73,-80,-1053,0.73,-78,-1061,0.73,-70,-70,0.74,-57,-57,0.74,-46,-46,0.73,-19,-19
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,56,0,0.69,75,0,0.66,89,0,0.65,104,0,0.67,115,0,0.72,60,0,0.67,100,0,0.71,44,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,88,0,0,89,0,0,84,0,0,90,0,0,96,0,0,101,0,0,100,-0.01,1,108
,,,,,’g–[•‰‰×,0.75,-39,-39,0.73,-43,-43,0.75,-44,-44,0.75,-37,-37,0.76,-27,-27,0.76,-24,-24,0.75,-34,-34,0.75,-13,-13
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.73,46,0,0.66,76,0,0.65,83,0,0.66,84,0,0.68,81,0,0.72,56,0,0.68,95,0,0.73,45,0
W‰ïŠ“™,‹£”n‹£—Öê,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.1,-1,203,0,0,282,-0.05,-2,263,0.09,6,271,0.37,11,355,0.53,13,49,0.45,12,57,0.66,6,46
,,,,,’g–[•‰‰×,0.61,-33,-258,0.63,-24,-296,0.63,-20,-282,0.67,-10,-255,0.64,-13,-311,0.59,-15,-15,0.66,-11,-11,0.58,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.61,66,0,0.58,85,0,0.58,72,0,0.58,74,0,0.58,65,0,0.64,50,0,0.6,75,0,0.66,46,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,112,0,0,114,0,0,139,0,0,153,0,0,205,0,0,204,0,0,255,-0.72,7,164
,,,,,’g–[•‰‰×,0.63,-105,-242,0.62,-104,-242,0.6,-115,-276,0.59,-113,-282,0.58,-105,-313,0.6,-85,-295,0.6,-68,-319,0.58,-30,-304
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.65,69,0,0.61,86,0,0.57,107,0,0.56,119,0,0.59,132,0,0.64,77,0,0.58,115,0,0.61,58,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,179,0,0,219,0,0,189,0,0,217,0,0,201,0,0,258,0,0,245,-0.01,0,340
,,,,,’g–[•‰‰×,0.61,-59,-242,0.59,-64,-285,0.62,-64,-260,0.62,-57,-276,0.63,-42,-239,0.62,-38,-289,0.61,-50,-288,0.61,-20,-344
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.64,59,0,0.56,89,0,0.56,96,0,0.57,97,0,0.6,92,0,0.63,72,0,0.6,107,0,0.64,59,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,432,0,0,266,0,0,0,-1.6,-5,-5,0,0,0,0.88,3,3,0.82,13,18,1.06,-4,8
,,,,,’g–[•‰‰×,0.81,-39,-478,0.74,-52,-332,0.51,-47,-47,0.7,-18,-18,0.49,-34,-34,0.75,-31,-31,0.6,-34,-34,0.76,-10,-10
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.86,132,0,0.77,98,0,0.8,129,0,0.75,124,0,0.54,177,0,0.87,99,0,0.65,143,0,0.74,86,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,68,0,0,86,0,0,135,0,0,146,0,0,171,0,0,220,0,0,243,0,0,400
,,,,,’g–[•‰‰×,0.86,-317,-490,0.67,-410,-585,0.65,-371,-589,0.68,-358,-576,0.82,-256,-484,0.54,-378,-655,0.63,-246,-529,0.85,-60,-487
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,250,0,0.65,229,0,0.74,224,0,0.57,312,0,0.9,226,0,0.63,282,0,1.01,243,0,0.56,170,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,169,0,0,232,0,0,220,0,0,301,0,0,239,0,0,328,0,0,194,0,0,366
,,,,,’g–[•‰‰×,0.77,-125,-342,0.63,-160,-426,0.76,-119,-370,0.81,-85,-405,0.74,-64,-325,0.86,-55,-389,0.86,-74,-282,0.69,-59,-440
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,70,0,0.75,156,0,0.69,178,0,0.69,169,0,0.67,218,0,0.87,108,0,0.94,98,0,0.79,128,0
W‰ïŠ“™,ƒƒr[‹£”n‹£—Öê,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.1,-1,43,0,0,95,-0.05,-2,74,0.09,6,103,0.37,11,143,0.53,13,183,0.45,12,151,0.66,6,52
,,,,,’g–[•‰‰×,0.61,-33,-92,0.63,-24,-103,0.63,-20,-87,0.67,-10,-81,0.64,-13,-94,0.59,-15,-139,0.66,-11,-87,0.58,-8,-8
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.61,66,0,0.58,85,0,0.58,72,0,0.58,74,0,0.58,65,0,0.64,50,0,0.6,75,0,0.66,46,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,42,0,0,40,0,0,41,0,0,50,0,0,78,0,0,62,0,0,89,-0.72,7,7
,,,,,’g–[•‰‰×,0.63,-105,-167,0.62,-104,-163,0.6,-115,-171,0.59,-113,-173,0.58,-105,-180,0.6,-85,-147,0.6,-68,-147,0.58,-30,-124
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.65,69,0,0.61,86,0,0.57,107,0,0.56,119,0,0.59,132,0,0.64,77,0,0.58,115,0,0.61,58,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,59,0,0,61,0,0,57,0,0,67,0,0,67,0,0,91,0,0,92,-0.01,0,117
,,,,,’g–[•‰‰×,0.61,-59,-115,0.59,-64,-121,0.62,-64,-123,0.62,-57,-121,0.63,-42,-99,0.62,-38,-115,0.61,-50,-129,0.61,-20,-116
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.64,59,0,0.56,89,0,0.56,96,0,0.57,97,0,0.6,92,0,0.63,72,0,0.6,107,0,0.64,59,0
,,‘O“ú‹x‚Ý,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,218,0,0,63,0,0,163,-1.6,-5,11,0,0,13,0.88,3,45,0.82,13,249,1.06,-4,38
,,,,,’g–[•‰‰×,0.81,-39,-244,0.74,-52,-109,0.51,-47,-202,0.7,-18,-196,0.49,-34,-34,0.75,-31,-31,0.6,-34,-182,0.76,-10,-10
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.86,132,0,0.77,98,0,0.8,129,0,0.75,124,0,0.54,177,0,0.87,99,0,0.65,143,0,0.74,86,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,17,0,0,23,0,0,54,0,0,44,0,0,81,0,0,111,0,0,96,0,0,190
,,,,,’g–[•‰‰×,0.86,-317,-411,0.67,-410,-494,0.65,-371,-478,0.68,-358,-445,0.82,-256,-364,0.54,-378,-517,0.63,-246,-358,0.85,-60,-252
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.76,250,0,0.65,229,0,0.74,224,0,0.57,312,0,0.9,226,0,0.63,282,0,1.01,243,0,0.56,170,0
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,42,0,0,58,0,0,67,0,0,122,0,0,75,0,0,165,0,0,91,0,0,128
,,,,,’g–[•‰‰×,0.77,-125,-195,0.63,-160,-233,0.76,-119,-198,0.81,-85,-207,0.74,-64,-142,0.86,-55,-207,0.86,-74,-160,0.69,-59,-183
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.72,70,0,0.75,156,0,0.69,178,0,0.69,169,0,0.67,218,0,0.87,108,0,0.94,98,0,0.79,128,0
W‰ïŠ“™,ŽÐŽ›–{“a,‘O“ú‹ó’²,—â–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,-0.61,-4,133,0,0,398,-0.11,-2,346,0.08,7,364,0.43,13,47,0.52,15,56,0.44,15,55,0.67,9,44
,,,,,’g–[•‰‰×,0.65,-43,-338,0.67,-32,-417,0.68,-22,-378,0.71,-14,-351,0.67,-18,-18,0.63,-18,-18,0.69,-16,-16,0.65,-10,-10
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.65,74,0,0.61,93,0,0.61,82,0,0.62,83,0,0.61,74,0,0.66,62,0,0.64,81,0,0.67,60,0
,,,’g–[Šú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,152,0,0,150,0,0,194,0,0,210,0,0,274,0,0,291,0,0,307,0,0,8
,,,,,’g–[•‰‰×,0.71,-109,-289,0.67,-125,-304,0.66,-130,-349,0.64,-133,-363,0.65,-117,-397,0.66,-94,-391,0.68,-69,-372,0.65,-29,-29
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.7,79,,0.65,93,,0.59,123,,0.57,141,,0.62,150,,0.64,104,,0.61,136,,0.62,69,
,,,’†ŠÔŠú,ŠO‹C‰·•Ï“®,—â–[•‰‰×,0,0,280,0,0,306,0,0,252,0,0,297,0,0,293,0,0,372,0,0,305,-0.03,0,15
,,,,,’g–[•‰‰×,0.65,-71,-354,0.63,-75,-382,0.66,-84,-345,0.67,-69,-368,0.69,-48,-337,0.7,-38,-402,0.68,-52,-347,0.66,-24,-24
,,,,“úŽË—Ê•Ï“®,—â–[•‰‰×,0.67,69,,0.63,88,,0.59,109,,0.59,111,,0.63,101,,0.66,78,,0.62,122,,0.66,71,
